drugName,condition,review,rating,usefulCount,condition_cat,stemmedReview
Topiramate,Migraine Prevention,"""I have been on this medication almost two weeks, started out on 25mg and working my way up to 100mg, currently at 50mg. No headaches at all so far and I was having 2-3 crippling migraines a week. I have lost 5.2lbs so far but note I am really paying close attention to what I am eating, I have a lot of weight to lose and if weight loss is a side effect I want to help it along as much as I can.  Now, other side effects, they are there the word recall issues exist, the memory issues, the worst of it seems to be the vision disturbances, there have been times I have just not driven because I&#039;m sure it would not have been safe. The good news is it seems to be wearing off...I have tons of energy and I am in a great mood.""",9.0,19,81,i medic almost two week start mg work way mg current mg no headach far i crippl migrain week i lost lb far note i realli pay close attent i eat i lot weight lose weight loss side effect i help along much i now side effect word recal issu exist memori issu worst seem vision disturb time i driven i sure would safe the good news seem wear i ton energi i great mood
L-methylfolate,Depression,"""I have taken anti-depressants for years, with some improvement but mostly moderate to severe side affects, which makes me go off them.

I only take Cymbalta now mostly for pain.

When I began Deplin, I noticed a major improvement overnight. More energy, better disposition, and no sinking to the low lows of major depression. I have been taking it for about 3 months now and feel like a normal person for the first time ever. Best thing, no side effects.""",10.0,54,40,i taken anti depress year improv mostli moder sever side affect make go i cymbalta mostli pain when i began deplin i notic major improv overnight more energi better disposit sink low low major depress i take month feel like normal person first time ever best thing side effect
Pentasa,Crohn's Disease,"""I had Crohn&#039;s with a resection 30 years ago and have been mostly in remission since.  Have recently had a bad flare and narrowing at the anastomosis and need to be on medication, but haven&#039;t found one that I can handle.  Asacol gave me such serious body aching and fatigue that I could not function.  Pentasa immediately gave me heart palpitations and arrhythmias so I had to discontinue it.""",4.0,8,38,i crohn resect year ago mostli remiss sinc have recent bad flare narrow anastomosi need medic found i handl asacol gave seriou bodi ach fatigu i could function pentasa immedi gave heart palpit arrhythmia i discontinu
Dextromethorphan,Cough,"""Have a little bit of a lingering cough from a cold. Not giving me much trouble except keeps me up at night. I heard this was good so I took so I could get some sleep. Helped tremendously with the cough but then I was having bad stomach cramps and diarrhea. I hadn&#039;t eaten anything that should have upset my stomach and it didn&#039;t really feel like a &quot;bug&quot; so I looked up side effects for Delsym.  Now I wish I had done that first because I probably wouldn&#039;t have taken it. So, while it worked for my cough I still didn&#039;t get any sleep due to the stomach issues.""",4.0,1,37,have littl bit linger cough cold not give much troubl except keep night i heard good i took i could get sleep help tremend cough i bad stomach cramp diarrhea i eaten anyth upset stomach realli feel like quot bug quot i look side effect delsym now i wish i done first i probabl taken so work cough i still get sleep due stomach issu
Nexplanon,Birth Control,"""Started Nexplanon 2 months ago because I have a minimal amount of contraception&#039;s I can take due to my inability to take the hormone that is used in most birth controls. I&#039;m trying to give it time because it is one of my only options right now. But honestly if I had options I&#039;d get it removed.
I&#039;ve never had acne problems in my life, and immediately broke out after getting it implanted. Sex drive is completely gone, and I used to have sex with my boyfriend a few days a week, now its completely forced and not even fun for me anymore. I mean I&#039;m on birth control because I like having sex but don&#039;t want to get pregnant, why take a birth control that takes away sex? Very unhappy and hope that I get it back with time or I&#039;m getting it removed.""",3.0,10,23,start nexplanon month ago i minim amount contracept i due inabl hormon use birth control i tri give time option right but honestli i option i get remov i never acn problem life immedi broke get implant sex drive complet gone i use sex boyfriend day week complet forc even fun anymor i mean i birth control i like sex get pregnant birth control take away sex veri unhappi hope i get back time i get remov
Liraglutide,Obesity,"""I have been taking Saxenda since July 2016.  I had severe nausea for about a month once I got up to the 2.6 dosage.  It has since subsided and the only side effect I notice now is the dry mouth.  I make sure to drink  2.5 litres of water a day (about 10 glasses).  This helps with the weight loss as well as the constipation.  I have been reducing my dose to find a comfortable spot where I am still losing weight but don&#039;t feel like I am over medicating.  For me, 1.8 is working very well.  I also feel wearing a Fitbit has really helped.  I can track my food, water, exercise and steps - it keeps me moving more.  When this started I could barely walk the length of myself without getting winded - I have lost 58 lbs so far.""",9.0,20,89,i take saxenda sinc juli i sever nausea month i got dosag it sinc subsid side effect i notic dri mouth i make sure drink litr water day glass thi help weight loss well constip i reduc dose find comfort spot i still lose weight feel like i medic for work well i feel wear fitbit realli help i track food water exercis step keep move when start i could bare walk length without get wind i lost lb far
Trimethoprim,Urinary Tract Infection,"""This drug worked very well for me and cleared up my UTI in a matter of 48hrs, although I was on a 7 day course of 2x200mg/daily. Unfortunately once the tablets finished the infection returned so needed a 2nd course. I&#039;m currently taking a low dose at evening to keep the infection at bay while the specialists do some tests.  I normally get every side effect going and dread taking new medication in any form especially after an horrific experience with Ciorofloxacin but the only side effect I experienced with this was itchy ankles and feet on day two but that didn&#039;t last into third day so I would class this as a minor side effect and insignificant. Good luck.""",9.0,0,128,thi work well clear uti matter hr although i day cours x mg daili unfortun tablet finish infect return need nd cours i current take low dose even keep infect bay specialist test i normal get everi side effect go dread take new medic form especi horrif experi ciorofloxacin side effect i experienc itchi ankl feet day two last third day i would class minor side effect insignific good luck
Amitriptyline,ibromyalgia,"""I&#039;ve been taking amitriptyline since January 2013 after being diagnosed with fibromyalgia. I tried cymbalta for a week and my Dr decided that since it kept me awake 24/7 that it wasn&#039;t a good fit for me even though it relieved my pain. I started with 25 mg. After 2 weeks I had some breakthrough pain, so my Dr increased my dosage to 50mg and I&#039;m still on that dosage today. For the first full year I was on this I never had pain and felt &#039;cured&#039;. As time went on, it seems to help control my pain. I do still have pain, but at a low manageable level. I take this around 7pm each evening to avoid feeling overly drowsy in the mornings. This med allows me to have a fairly normal life.""",9.0,39,134,i take amitriptylin sinc januari diagnos fibromyalgia i tri cymbalta week dr decid sinc kept awak good fit even though reliev pain i start mg after week i breakthrough pain dr increas dosag mg i still dosag today for first full year i i never pain felt cure as time went seem help control pain i still pain low manag level i around pm even avoid feel overli drowsi morn thi allow fairli normal life
Lamotrigine,Bipolar Disorde,"""I&#039;ve been on every medicine under the sun (it seems) to manage the hypomania / mania of Bipolar2. Within a few days of starting Lamictal (was on Tegretol) it was as if someone had turned a light on in my head. Is this the way &quot;normal&quot; people think? was one of the first things that struck me. I sleep like a log, have no irritability, almost no anger (other than what would be considered normal). I am able to focus and my creative, impulsive thoughts have decreased enough to be manageable. It&#039;s a God send as I would perennially be in a state of hypo mania, which sounds great, but I was physically and emotionally exhausted. My libido is markedly lower but I wonder if that is perhaps an effect of not being hypo manic. I take 20 mg for anxiety.""",10.0,18,22,i everi medicin sun seem manag hypomania mania bipolar within day start lamict tegretol someon turn light head is way quot normal quot peopl think first thing struck i sleep like log irrit almost anger would consid normal i abl focu creativ impuls thought decreas enough manag it god send i would perenni state hypo mania sound great i physic emot exhaust my libido markedli lower i wonder perhap effect hypo manic i mg anxieti
Nilotinib,Chronic Myelogenous Leukemia,"""I have been on Tasigna for just over 3 years now (300mg x 2 times a day) Tasigna worked for me within a few weeks I have been in remission for basically the entire 3 years. As for the side effects, I feel sick to my stomach, tired,  severe leg and arm pain, I can&#039;t walk to long without needing a break, I went from working full time to not working at all because I am so tired all the time.... but hey I am in remission and alive so is all the above really a problem? Nope""",10.0,11,31,i tasigna year mg x time day tasigna work within week i remiss basic entir year as side effect i feel sick stomach tire sever leg arm pain i walk long without need break i went work full time work i tire time hey i remiss aliv realli problem nope
Atripla,HIV Infection,"""Spring of 2008 I was hospitalized with pnuemonia and diagnosed with Lyme diease and full blown AIDS with CD4 count of &quot;11&quot; viral load some number so high in the millions I could never remember. I was taking Combivir and Kaletra with Dapsone for the 1st year then it stopped working. I started Kaletra with the Dapsone my CD4 count is now 209 and rising. For a few weeks I was very aggressive and broke all my dishes in the house LOL. I take vitamin supplements and drink a boost pluz every day. LIfe is good now!""",8.0,11,56,spring i hospit pnuemonia diagnos lyme dieas full blown aid cd count quot quot viral load number high million i could never rememb i take combivir kaletra dapson st year stop work i start kaletra dapson cd count rise for week i aggress broke dish hous lol i vitamin supplement drink boost pluz everi day life good
Trazodone,Insomnia,"""I have insomnia, it&#039;s horrible. My story begins with my PCP prescribing me Prozac to help with intestinal issues, because I was desperate I tried it, I was on it for 3 weeks. Stopped because of insomnia. Then I was prescribed Ativan, it out me out, but was very addicting. I had rebound insomnia. Then after about 14 days I hardly any sleep l tried the doctor one more time. I asked him about Trazadone. He told me that was a good medication for insomnia. He put me on 25 mgs, but stated I may have to figure out what dosage is best for me. I am currently taking 100 mgs, which is on the low range of what is prescribed, 400 mgs being at the high end for insomnia. I have the dry mouth and nasel congestion. I can live with that, I sleep now, yeah...""",10.0,43,72,i insomnia horribl my stori begin pcp prescrib prozac help intestin issu i desper i tri i week stop insomnia then i prescrib ativan addict i rebound insomnia then day i hardli sleep tri doctor time i ask trazadon he told good medic insomnia he put mg state i may figur dosag best i current take mg low rang prescrib mg high insomnia i dri mouth nasel congest i live i sleep yeah
Etonogestrel,Birth Control,"""Nexplanon does its job. I can have worry free sex. The only thing is that my periods are sometimes light and sometimes heavy. Sometimes they go away and sometimes they show up unexpected. I also feel somewhat depressed. Not sure if its Nexplanon or not. I&#039;ve had Nexplanont for about 2 months now, but despite the side effects its the most effective birth control I&#039;ve ever used and I do not plan on taking it out.""",9.0,11,23,nexplanon job i worri free sex the thing period sometim light sometim heavi sometim go away sometim show unexpect i feel somewhat depress not sure nexplanon i nexplanont month despit side effect effect birth control i ever use i plan take
Etanercept,Rheumatoid Arthritis,"""I live in Western Australia and disturbed by some comments on here. The cost of Embrel is cost of an ordinary prescription $36 for me the government pays the remainder of the cost to the chemist. I also go to the the medical centre every Saturday morning a Dr looks over my prescription and then he advises the nurse to administer the injection also no cost to myself and this is part of nurses duties. I am unsure of the country where people who have made comments referring to cost and that nobody is there to  administer the injection for them. I am very lucky to live in Australia as we have the best health system worldwide and everybody is  given the opportunity to receive proper medical help whether you are rich or poor there is no discrimination.""",10.0,4,108,i live western australia disturb comment the cost embrel cost ordinari prescript govern pay remaind cost chemist i go medic centr everi saturday morn dr look prescript advis nurs administ inject cost part nurs duti i unsur countri peopl made comment refer cost nobodi administ inject i lucki live australia best health system worldwid everybodi given opportun receiv proper medic help whether rich poor discrimin
Tioconazole,Vaginal Yeast Infection,"""Do not use the cream that comes with this. It turned my hoo-ha into a burning ring of fire. It is 1 am and I have to work tomorrow. It&#039;s going to be a sleepless night for me""",1.0,7,130,do use cream come it turn hoo burn ring fire it i work tomorrow it go sleepless night
Azithromycin,Chlamydia Infection,"""Was prescribed one dose over the course of one day, took 4 pills of 250mg after a light lunch, and had nausea and mild stomach pains/upset. Lying down did not alleviate the discomfort and threw up 3 hours later. Called up my doctor to check if I needed to take another dose but he said my body would have absorbed the pills by then. Still experiencing mild stomach pains but nausea is mostly gone now.""",7.0,7,30,wa prescrib dose cours day took pill mg light lunch nausea mild stomach pain upset ly allevi discomfort threw hour later call doctor check i need anoth dose said bodi would absorb pill still experienc mild stomach pain nausea mostli gone
Eflornithine,Hirsutism,"""I&#039;m writing a second review on Vaniqa.  I started using this in February this year. Twice a day although some days/times I do forget. I just want to say how delighted I am to have found this. It has totally and completely changed my life! I had terrible male pattern hair growth all over my cheeks, chin, upper and lower lip and starting to grow down my neck. I used to pluck for up to 2 hrs a time every 3rd day but was never hair free. I wouldn&#039;t kiss anyone hello or goodbye as even plucked the stubble could be felt under my skin. 3 months on im not scared of being caught in bright sunlight I pluck around once a fortnight and it takes around 10 mins. The hairs that are coming through are soft and downy. My life is transformed.""",10.0,99,65,i write second review vaniqa i start use februari year twice day although day time i forget i say delight i found it total complet chang life i terribl male pattern hair growth cheek chin upper lower lip start grow neck i use pluck hr time everi rd day never hair free i kiss anyon hello goodby even pluck stubbl could felt skin month scare caught bright sunlight i pluck around fortnight take around min the hair come soft downi my life transform
Daytrana,ADHD,"""Hi all, My son who is 12 was diagnosed when he was in 2nd grade. We tried everything before medication. When we tried meds, the first one made him loose weight, fast. The second gave him a nasty tic that thankfully went away as soon as he stopped the med, the third worked for a couple of years and around January of last year we started to have problems so his doctor recommended Daytrana. It has been wonderful for my son! Easy to use, he handles this for himself each day and takes it off when he gets home from school. The patch effects last long enough for him to do his homework. He does have issues with weight gain and sleep but he uses melatonin before bed if he feels like he will not be able to shut down. The shortage is KILLING us!""",10.0,11,4,hi my diagnos nd grade we tri everyth medic when tri med first made loos weight fast the second gave nasti tic thank went away soon stop third work coupl year around januari last year start problem doctor recommend daytrana it wonder easi use handl day take get home school the patch effect last long enough homework he issu weight gain sleep use melatonin bed feel like abl shut the shortag kill us
Ativan,Panic Disorde,"""Honestly, I have been taking ativan for 2 years now 1mg twice daily.  It does help but it should be used as a tool for panic attacks NOT A SOLUTION.  I have tried so many anti-depressants as well such as cymbalta, cipralex and a couple more.  The best thing is to talk to close friends and family or even a psychiatrist.  talking to people and venting is honestly the best thing you can do for yourself even though it takes a lot of will power to do it.  I would love to hear other people opinion.""",6.0,47,99,honestli i take ativan year mg twice daili it help use tool panic attack not a solut i tri mani anti depress well cymbalta cipralex coupl the best thing talk close friend famili even psychiatrist talk peopl vent honestli best thing even though take lot power i would love hear peopl opinion
Imitrex,Migraine,"""At first I suffered through them. This included splitting head pain, nausea, and vomiting. I started using Excedrin after a while which helped if I took it right away. Then that started to not work so well anymore. I had one really bad one that lasted hours. I was still throwing up at 9 pm and I was now throwing up blood. I went to the ER and when I finally got in they put me on an IV to hydrate me. They then added Imitrex to the bag and I soon started feeling side effects. My head felt like I was going to pass out. My breathing became labored and it felt like someone was sitting on my chest. They said that meant it was working. After about two minutes everything was gone. I got pills to take at home and they worked okay. Not as fast.""",8.0,6,80,at first i suffer thi includ split head pain nausea vomit i start use excedrin help i took right away then start work well anymor i realli bad last hour i still throw pm i throw blood i went er i final got put iv hydrat they ad imitrex bag i soon start feel side effect my head felt like i go pass my breath becam labor felt like someon sit chest they said meant work after two minut everyth gone i got pill home work okay not fast
Sertraline,Depression,"""1 week on Zoloft for anxiety and mood swings. I take 50mg in the mornings with my breakfast. Nausea on day one  but that subsided as the week went on.  I get the jitters about 2 hrs after taking it followed by yawning. I feel much better though and less angry/stressed.""",8.0,3,40,week zoloft anxieti mood swing i mg morn breakfast nausea day subsid week went i get jitter hr take follow yawn i feel much better though less angri stress
Toradol,Pain,"""I am 30 years old. I had a multiple composite spinal injuries 15 years ago. The aches and pains unbearable. I started taking anti-inflammatories about 2 years ago. I started getting injections every month of Toradol and &quot;Depo&quot; something. I am almost off all pain meds I mean I still have bad days but I can function again.""",10.0,16,97,i year old i multipl composit spinal injuri year ago the ach pain unbear i start take anti inflammatori year ago i start get inject everi month toradol quot depo quot someth i almost pain med i mean i still bad day i function
Tioconazole,Vaginal Yeast Infection,"""The burning is out of control about 20 minutes after inserting it . Sat in the bath trying to get this stuff out . This is awful""",1.0,2,130,the burn control minut insert sat bath tri get stuff thi aw
Viberzi,Irritable Bowel Syndrome,"""Have been taking Viberzi for a month now for IBS-D and I can&#039;t be happier. I have ZERO side effects. Thank you for making me normal again!!!!!!""",8.0,15,73,have take viberzi month ib d i happier i zero side effect thank make normal
Mobic,Osteoarthritis,"""Reduced my pain by 80% and lets me live a normal life again!""",10.0,82,93,reduc pain let live normal life
Dulcolax,Constipation,"""SO MUCH PAIN! 
In the last 2 years I have suffered with a brain tumour so have been in a LOT of pain to the point of morphine everyday for a year. Then I had brain surgery...but the pain from this pill came pretty close!! In serious pain to the point of blacking out hot and cold shivers and just sat in pain feeling like trapped wind/indigestion it&#039;s just.. Ahhhh!!!! Don&#039;t take this!!!""",1.0,10,33,so much pain in last year i suffer brain tumour lot pain point morphin everyday year then i brain surgeri pain pill came pretti close in seriou pain point black hot cold shiver sat pain feel like trap wind indigest ahhhh don
Morphine,Pain,"""I have been on morphine for at least 7 years..It is the only medicine that seems to manage my pain. Without it I would be in bed 90% of the time. With it I can have a life.""",8.0,19,97,i morphin least year it medicin seem manag pain without i would bed time with i life
MoviPrep,Bowel Preparation,"""I have taken this at least 5-6 times for the last 10 years. I have had major problems with it since the first time. Causing me MAJOR FATIGUE. The last time I took it was 3 year&#039;s ago and I had very severe cramps and not having enough time to get to the bathroom. I went to the hospital and the doctor said it didn&#039;t work good enough so he had me go home and do a second round. I went back the next day and did the process with no energy. I had to do it last night and it was even worse than the other times. I was gagging it down and up all night with severe cramps. I tried the second dose in the morning and I just about started throwing up so I called the office and they said to stop. Once the doctor was done he said it didn&#039;t evacuate enough""",2.0,0,24,i taken least time last year i major problem sinc first time caus major fatigu the last time i took year ago i sever cramp enough time get bathroom i went hospit doctor said work good enough go home second round i went back next day process energi i last night even wors time i gag night sever cramp i tri second dose morn i start throw i call offic said stop onc doctor done said evacu enough
Trilafon,Psychosis,"""I had a similar experience.  Tremors in hands (not really noticeable to someone watching unless they were looking for it), but relief from the delusions I was experiencing. My problem has been going on for over 16 years so I anticipate it will not magically disappear (and it didn&#039;t) but the clarity of thinking I experience with this medicine really helps me.""",9.0,45,106,i similar experi tremor hand realli notic someon watch unless look relief delus i experienc my problem go year i anticip magic disappear clariti think i experi medicin realli help
Fluconazole,Vaginal Yeast Infection,"""I am very prone to yeast infections, I believe it&#039;s due to my birth control as well as having unprotected sex. Fluconazole has always cleared up my yeast infections with 2 doses. No side effects.""",8.0,9,130,i prone yeast infect i believ due birth control well unprotect sex fluconazol alway clear yeast infect dose no side effect
Contrave,Obesity,"""I am just finishing my second week taking Contrave and have lost 10 lbs. It has been an interesting experience because the drug is definitely not an appetite suppressant, yet it does help you control the urge to eat. I have had mild side effects - some stomach discomfort and slight headaches along with constipation, but it has all been easily manageable. If you are considering taking this medication please keep in mind that you still need to do the work by exercising and eating right, but the medication really does help. It has helped me get my motivation back to exercise, and it definitely helps with cravings to eat making it easy to just eat what I need to be healthy. Use the coupon they give you, it drops cost to $70""",8.0,9,89,i finish second week take contrav lost lb it interest experi definit appetit suppress yet help control urg eat i mild side effect stomach discomfort slight headach along constip easili manag if consid take medic pleas keep mind still need work exercis eat right medic realli help it help get motiv back exercis definit help crave eat make easi eat i need healthi use coupon give drop cost
Clonazepam,Panic Disorde,"""This medication changed my life.  My panic attacks were so out of control I was barely able to leave the house.  Within 2 days, a moderate does of this changed me into a new person.  That was 15 years ago.  My dosage has never changed.""",9.0,30,99,thi medic chang life my panic attack control i bare abl leav hous within day moder chang new person that year ago my dosag never chang
Metaxalone,Muscle Spasm,"""I have been taking this medicine due to lower back trouble.  When I first took it, it worked great, now all it does is put me to sleep.""",5.0,55,84,i take medicin due lower back troubl when i first took work great put sleep
Venlafaxine,Depression,"""my gp started me on Venlafaxine yesterday to help with depression and the change,a hour after taking them i was feeling very sick couldn,t stomach food or fluids, thought keep it up as she told me they did come with some side effects which would get better,took another one last night and was so ill i couldn,t stand ,being sick sweating shaking thought i was going to pass out. Did get some sleep hopeing to feel better this morning,took another one and felt so spaced out dry mouth shaking ,sick, so booked in to see gp again to make sure i should be feeling like this, only to find out she had put me on the wrong dose should have been on 37.5mg was put on 150mg, now on right dose hope this will be better""",4.0,3,40,gp start venlafaxin yesterday help depress chang hour take feel sick stomach food fluid thought keep told side effect would get better took anoth last night stand sick sweat shake thought go pass did get sleep hope feel better morn took anoth felt space dri mouth shake sick book see gp make sure feel like find put wrong dose mg put mg right dose hope better
Ledipasvir / sofosbuvir,Hepatitis C,"""At initial testing my VL was over 6 million. I received my meds on saturday 2 days prior to testing to establish a baseline. I started when I received my pills. 2 days and 5 hours later I got my blood test to establish VL, I had taken 3 pills at this point and my VL was under 700.  VL @ 4 weeks was 0 . VL @ 8 weeks was 0 and @ 12 weeks was 0 .  2 weeks til my 1st EOT test. I feel cured. My side effects were next to nothing.""",10.0,0,60,at initi test vl million i receiv med saturday day prior test establish baselin i start i receiv pill day hour later i got blood test establish vl i taken pill point vl vl week vl week week week st eot test i feel cure my side effect next noth
Ledipasvir / sofosbuvir,Hepatitis C,"""Side effects are light- fatigue and a bit of a headache. I did find it easier to take it an hour after dinner.  WAY better then the triple-threat approach.  My blood work does indicate that I am in the beggining stages of cirrhosis. I also had Hep B in 1994. 

So far, it&#039;s like a miracle.  Other than the fatigue (which is nothing if you&#039;ve suffered Jaundice or the &#039;Sickie&#039; symptoms that Hep C can cause), it&#039;s business as usual.""",9.0,94,60,side effect light fatigu bit headach i find easier hour dinner way better tripl threat approach my blood work indic i beggin stage cirrhosi i hep b so far like miracl other fatigu noth suffer jaundic sicki symptom hep c caus busi usual
Symbyax,Bipolar Disorde,"""Helps against sadness, and strongly counters moderate urges to drink at a stressful, confusing time in my life.""",8.0,22,22,help sad strongli counter moder urg drink stress confus time life
Tamsulosin,Overactive Bladde,"""24 Year Old, Male, UK ,Normally I would go every hour, even when drinking very small amounts of water or drinks.

I took this medication for only two weeks, I noticed right away I would go less often to the toilet, and it was much easier to dispense the urine. 

Unfortunately I had to stop taking this as the medications side effects outweighed the benefits. I found that I would have incredibly intense mood swings, aggression, feel clumsy and dizzy all the time. Blurry vision. Memory problems or mind blanks. runny nose, weakness, tiredness.

I am now trying Betmiga.. lets see""",4.0,10,96,year old male uk normal i would go everi hour even drink small amount water drink i took medic two week i notic right away i would go less often toilet much easier dispens urin unfortun i stop take medic side effect outweigh benefit i found i would incred intens mood swing aggress feel clumsi dizzi time blurri vision memori problem mind blank runni nose weak tired i tri betmiga let see
Doxycycline,Urinary Tract Infection,"""I battled a nasty UTI for over a month &amp; went through 3 different antibiotics till my doctor finally gave me this one. Makes you terribly sick to your stomach but in the end is completely worth it!! Felt completely back to normal in 2 days!!""",7.0,44,128,i battl nasti uti month amp went differ antibiot doctor final gave make terribl sick stomach complet worth felt complet back normal day
